CustNum: 1000, First Name: Zoe, Last Name: Koshy, Building: CI, Entrance: S, Floor: 2, x:34, y:11
CustNum: 1044, First Name: Marc, Last Name: Thornton, Building: AG, Entrance: W, Floor: 8, x:27, y:2
CustNum: 1045, First Name: Asma, Last Name: Eddington, Building: EI, Entrance: S, Floor: 4, x:34, y:19
CustNum: 1046, First Name: Aratha, Last Name: Dubey, Building: FA, Entrance: S, Floor: 9, x:2, y:23
CustNum: 1047, First Name: Emma, Last Name: Ghosh, Building: EC, Entrance: W, Floor: 1, x:11, y:18
CustNum: 1048, First Name: Anthony, Last Name: Connell, Building: FB, Entrance: W, Floor: 10, x:7, y:22
CustNum: 1049, First Name: Grace, Last Name: Godwin, Building: EB, Entrance: W, Floor: 5, x:7, y:18
CustNum: 1050, First Name: Ali, Last Name: Chartrand, Building: FE, Entrance: S, Floor: 7, x:18, y:23
CustNum: 1051, First Name: Abdulla, Last Name: Balakumar, Building: FH, Entrance: W, Floor: 5, x:31, y:22
CustNum: 1052, First Name: Mark, Last Name: Thanamay, Building: AH, Entrance: N, Floor: 9, x:30, y:1
CustNum: 1053, First Name: Tekifhar, Last Name: Hazelnut, Building: DG, Entrance: E, Floor: 3, x:25, y:14
